Datetime,v1,v2
2025-01-12 13:06:29.842279,42,17
2025-01-12 13:06:30.854047,42,17
2025-01-12 13:06:31.841341,42,17
2025-01-12 13:06:32.845407,42,17
2025-01-12 13:06:33.850663,42,17
2025-01-12 13:06:34.854276,42,17
2025-01-12 13:06:35.854307,42,17
2025-01-12 13:06:36.851912,42,17
2025-01-12 13:06:37.854097,42,17
2025-01-12 13:06:38.853433,42,17
2025-01-12 13:06:39.853032,42,17
2025-01-12 13:06:40.850349,42,17
2025-01-12 13:06:41.853553,42,17
2025-01-12 13:06:42.845322,42,17
2025-01-12 13:06:43.854080,42,17
2025-01-12 13:06:44.852799,42,17
2025-01-12 13:06:45.853230,42,17
2025-01-12 13:06:46.852777,42,17
2025-01-12 13:06:47.854353,42,17
2025-01-12 13:06:48.847942,42,17
2025-01-12 13:06:49.849998,42,17
2025-01-12 13:06:50.845073,42,17
2025-01-12 13:06:51.854344,42,17
2025-01-12 13:06:52.846853,42,17
2025-01-12 13:06:53.851082,42,17
2025-01-12 13:06:54.853268,42,17
2025-01-12 13:06:55.842363,42,17
2025-01-12 13:06:56.845955,42,17
2025-01-12 13:06:57.846623,42,17
2025-01-12 13:06:58.853347,42,17
2025-01-12 13:06:59.841284,42,17
2025-01-12 13:07:00.844902,42,17
2025-01-12 13:07:01.847628,42,17
2025-01-12 13:07:02.851907,42,17
2025-01-12 13:07:03.852609,42,17
2025-01-12 13:07:04.853549,42,17
2025-01-12 13:07:05.845898,42,17
2025-01-12 13:07:06.842339,42,17
2025-01-12 13:07:07.838528,42,17
2025-01-12 13:07:08.841955,42,17
2025-01-12 13:07:09.845410,42,17
2025-01-12 13:07:10.848927,42,17
2025-01-12 13:07:11.853571,42,17
2025-01-12 13:07:12.840128,42,17
2025-01-12 13:07:13.843619,42,17
2025-01-12 13:07:14.853428,42,17
2025-01-12 13:07:15.851919,42,17
2025-01-12 13:07:16.849374,42,17
2025-01-12 13:07:17.852368,42,17
2025-01-12 13:07:18.850494,42,17
2025-01-12 13:07:19.850038,42,17
2025-01-12 13:07:20.852559,42,17
2025-01-12 13:07:21.844806,42,17
2025-01-12 13:07:22.842985,42,17
2025-01-12 13:07:23.853406,42,17
2025-01-12 13:07:24.853650,42,17
2025-01-12 13:07:25.853569,42,17
2025-01-12 13:07:26.843046,42,17
2025-01-12 13:07:27.839301,42,17
2025-01-12 13:07:28.849304,42,17
2025-01-12 13:07:29.852590,42,17
2025-01-12 13:07:30.854003,42,17
2025-01-12 13:07:31.844530,42,17
2025-01-12 13:07:32.851621,42,17
2025-01-12 13:07:33.843025,42,17
2025-01-12 13:07:34.849121,42,17
2025-01-12 13:07:35.840284,42,17
2025-01-12 13:07:36.846666,42,17
2025-01-12 13:07:37.852618,42,17
